,collection_date,lineage,abundance
0,2023-10-19,BA.2.86.X,0.23796363
1,2023-10-02,BA.2.86.X,0.0
2,2024-04-11,BA.2.86.X,0.51337367
3,2024-12-02,BA.2.86.X,0.0
4,2024-07-04,BA.2.86.X,0.0
5,2024-06-27,BA.2.86.X,0.0
6,2024-05-20,BA.2.86.X,0.00019598
7,2023-05-10,BA.2.86.X,0.0
8,2023-09-21,BA.2.86.X,0.26706558
9,2024-04-04,BA.2.86.X,0.41400309
10,2024-11-11,BA.2.86.X,0.0
11,2024-10-24,BA.2.86.X,0.0
12,2024-08-26,BA.2.86.X,0.0
13,2023-09-18,BA.2.86.X,0.8777029399999999
14,2024-07-08,BA.2.86.X,5.299e-05
15,2024-12-05,BA.2.86.X,0.0
16,2024-04-18,BA.2.86.X,2.601e-05
17,2023-10-16,BA.2.86.X,0.89490392
18,2023-08-21,BA.2.86.X,0.0
19,2024-05-13,BA.2.86.X,0.92403338
20,2024-04-15,BA.2.86.X,0.00044597
21,2024-05-16,BA.2.86.X,0.36494299999999996
22,2023-10-30,BA.2.86.X,0.9997434799999998
23,2024-11-14,BA.2.86.X,0.08262127999999999
24,2023-09-28,BA.2.86.X,6.693e-05
25,2024-12-09,BA.2.86.X,0.0
26,2024-02-15,BA.2.86.X,0.0
27,2024-09-30,BA.2.86.X,0.0
28,2023-10-26,BA.2.86.X,0.0
29,2024-08-12,BA.2.86.X,0.0
30,2023-10-19,XBB.1.5.X,0.27224972999999997
31,2023-10-02,XBB.1.5.X,0.04062591000000001
32,2024-04-11,XBB.1.5.X,0.0
33,2024-12-02,XBB.1.5.X,0.0
34,2024-07-04,XBB.1.5.X,0.0
35,2024-06-27,XBB.1.5.X,4.3e-07
36,2024-05-20,XBB.1.5.X,0.0
37,2023-05-10,XBB.1.5.X,0.9261209499999998
38,2023-09-21,XBB.1.5.X,0.56330158
39,2024-04-04,XBB.1.5.X,1.26e-06
40,2024-11-11,XBB.1.5.X,5.169999999999999e-06
41,2024-10-24,XBB.1.5.X,0.0
42,2024-08-26,XBB.1.5.X,0.0
43,2023-09-18,XBB.1.5.X,0.12186493000000001
44,2024-07-08,XBB.1.5.X,0.0
45,2024-12-05,XBB.1.5.X,0.0
46,2024-04-18,XBB.1.5.X,0.0
47,2023-10-16,XBB.1.5.X,0.10509649
48,2023-08-21,XBB.1.5.X,0.9997681199999999
49,2024-05-13,XBB.1.5.X,0.0
50,2024-04-15,XBB.1.5.X,0.0
51,2024-05-16,XBB.1.5.X,0.0
52,2023-10-30,XBB.1.5.X,8.099999999999999e-07
53,2024-11-14,XBB.1.5.X,0.0
54,2023-09-28,XBB.1.5.X,0.28966817999999994
55,2024-12-09,XBB.1.5.X,0.0
56,2024-02-15,XBB.1.5.X,0.0
57,2024-09-30,XBB.1.5.X,0.0
58,2023-10-26,XBB.1.5.X,0.9999999599999999
59,2024-08-12,XBB.1.5.X,0.0
60,2023-10-19,XBB.X,0.45735517000000003
61,2023-10-02,XBB.X,0.9590337100000003
62,2024-04-11,XBB.X,3.2e-07
63,2024-12-02,XBB.X,0.0
64,2024-07-04,XBB.X,0.0
65,2024-06-27,XBB.X,4.3e-07
66,2024-05-20,XBB.X,0.0
67,2023-05-10,XBB.X,0.07366722000000002
68,2023-09-21,XBB.X,0.11754945
69,2024-04-04,XBB.X,1.11e-06
70,2024-11-11,XBB.X,1.7049999999999994e-05
71,2024-10-24,XBB.X,0.0
72,2024-08-26,XBB.X,0.0
73,2023-09-18,XBB.X,0.00031126
74,2024-07-08,XBB.X,0.0
75,2024-12-05,XBB.X,0.0
76,2024-04-18,XBB.X,0.0
77,2023-10-16,XBB.X,2.9e-07
78,2023-08-21,XBB.X,0.0
79,2024-05-13,XBB.X,0.0
80,2024-04-15,XBB.X,5.7e-07
81,2024-05-16,XBB.X,0.0
82,2023-10-30,XBB.X,1.77e-06
83,2024-11-14,XBB.X,0.0
84,2023-09-28,XBB.X,0.7090017900000001
85,2024-12-09,XBB.X,0.0
86,2024-02-15,XBB.X,0.0
87,2024-09-30,XBB.X,0.0
88,2023-10-26,XBB.X,0.0
89,2024-08-12,XBB.X,0.0
90,2023-10-19,BA.2.X,0.03072193
91,2023-10-02,BA.2.X,0.0
92,2024-04-11,BA.2.X,0.0
93,2024-12-02,BA.2.X,0.001457
94,2024-07-04,BA.2.X,0.0
95,2024-06-27,BA.2.X,3.6e-07
96,2024-05-20,BA.2.X,0.0
97,2023-05-10,BA.2.X,5.804e-05
98,2023-09-21,BA.2.X,0.0
99,2024-04-04,BA.2.X,0.0
100,2024-11-11,BA.2.X,7.790000000000002e-06
101,2024-10-24,BA.2.X,0.00021600000000000002
102,2024-08-26,BA.2.X,0.0
103,2023-09-18,BA.2.X,0.00012087
104,2024-07-08,BA.2.X,0.0
105,2024-12-05,BA.2.X,0.0
106,2024-04-18,BA.2.X,0.0
107,2023-10-16,BA.2.X,0.0
108,2023-08-21,BA.2.X,0.0
109,2024-05-13,BA.2.X,0.0
110,2024-04-15,BA.2.X,0.0
111,2024-05-16,BA.2.X,0.0
112,2023-10-30,BA.2.X,0.00025608
113,2024-11-14,BA.2.X,0.0
114,2023-09-28,BA.2.X,0.00048662
115,2024-12-09,BA.2.X,0.0
116,2024-02-15,BA.2.X,0.0
117,2024-09-30,BA.2.X,0.0
118,2023-10-26,BA.2.X,0.0
119,2024-08-12,BA.2.X,0.0
120,2023-10-19,Recombinants,0.0017094
121,2023-10-02,Recombinants,7.06e-05
122,2024-04-11,Recombinants,0.00014972000000000002
123,2024-12-02,Recombinants,0.15513229
124,2024-07-04,Recombinants,0.0
125,2024-06-27,Recombinants,0.0
126,2024-05-20,Recombinants,0.00029378
127,2023-05-10,Recombinants,6.85e-05
128,2023-09-21,Recombinants,0.05208342
129,2024-04-04,Recombinants,0.0
130,2024-11-11,Recombinants,4.78e-06
131,2024-10-24,Recombinants,0.00022553999999999999
132,2024-08-26,Recombinants,0.0
133,2023-09-18,Recombinants,0.0
134,2024-07-08,Recombinants,6.871e-05
135,2024-12-05,Recombinants,0.0
136,2024-04-18,Recombinants,0.0002999
137,2023-10-16,Recombinants,0.0
138,2023-08-21,Recombinants,0.0
139,2024-05-13,Recombinants,6.472e-05
140,2024-04-15,Recombinants,0.0
141,2024-05-16,Recombinants,0.0
142,2023-10-30,Recombinants,3.2e-07
143,2024-11-14,Recombinants,0.060422800000000006
144,2023-09-28,Recombinants,0.00024307
145,2024-12-09,Recombinants,0.0
146,2024-02-15,Recombinants,0.0
147,2024-09-30,Recombinants,0.00015733
148,2023-10-26,Recombinants,0.0
149,2024-08-12,Recombinants,0.00018802
150,2023-10-19,KP.2.X,0.0
151,2023-10-02,KP.2.X,4.8e-06
152,2024-04-11,KP.2.X,0.47987459000000005
153,2024-12-02,KP.2.X,0.0105263
154,2024-07-04,KP.2.X,0.0
155,2024-06-27,KP.2.X,0.0
156,2024-05-20,KP.2.X,0.0
157,2023-05-10,KP.2.X,0.0
158,2023-09-21,KP.2.X,0.0
159,2024-04-04,KP.2.X,0.0
160,2024-11-11,KP.2.X,5.09e-06
161,2024-10-24,KP.2.X,0.00039120999999999996
162,2024-08-26,KP.2.X,0.0
163,2023-09-18,KP.2.X,0.0
164,2024-07-08,KP.2.X,0.09508907000000001
165,2024-12-05,KP.2.X,0.0
166,2024-04-18,KP.2.X,0.0004023900000000001
167,2023-10-16,KP.2.X,0.0
168,2023-08-21,KP.2.X,0.0
169,2024-05-13,KP.2.X,0.0
170,2024-04-15,KP.2.X,0.49691957
171,2024-05-16,KP.2.X,0.0
172,2023-10-30,KP.2.X,0.0
173,2024-11-14,KP.2.X,0.00011981
174,2023-09-28,KP.2.X,0.0
175,2024-12-09,KP.2.X,0.023314469999999997
176,2024-02-15,KP.2.X,0.0
177,2024-09-30,KP.2.X,0.0
178,2023-10-26,KP.2.X,0.0
179,2024-08-12,KP.2.X,0.0
180,2023-10-19,Other,0.0
181,2023-10-02,Other,0.00026506
182,2024-04-11,Other,3.7e-06
183,2024-12-02,Other,0.0
184,2024-07-04,Other,2.6e-07
185,2024-06-27,Other,5.140000000000001e-06
186,2024-05-20,Other,0.0
187,2023-05-10,Other,2.4e-07
188,2023-09-21,Other,0.0
189,2024-04-04,Other,3.5400000000000004e-06
190,2024-11-11,Other,8.068000000000001e-05
191,2024-10-24,Other,0.0
192,2024-08-26,Other,0.0
193,2023-09-18,Other,1.08e-06
194,2024-07-08,Other,8.016e-05
195,2024-12-05,Other,2e-07
196,2024-04-18,Other,0.00013401
197,2023-10-16,Other,2.58e-06
198,2023-08-21,Other,0.0
199,2024-05-13,Other,8.574e-05
200,2024-04-15,Other,3.12e-06
201,2024-05-16,Other,0.00011099999999999999
202,2023-10-30,Other,9.78e-06
203,2024-11-14,Other,0.0
204,2023-09-28,Other,5.051e-05
205,2024-12-09,Other,1.68e-06
206,2024-02-15,Other,0.0
207,2024-09-30,Other,0.0
208,2023-10-26,Other,0.0
209,2024-08-12,Other,0.0
210,2023-10-19,KP.1.X,0.0
211,2023-10-02,KP.1.X,0.0
212,2024-04-11,KP.1.X,0.0016031399999999999
213,2024-12-02,KP.1.X,0.00934842
214,2024-07-04,KP.1.X,0.0
215,2024-06-27,KP.1.X,0.0
216,2024-05-20,KP.1.X,7.84e-05
217,2023-05-10,KP.1.X,0.0
218,2023-09-21,KP.1.X,0.0
219,2024-04-04,KP.1.X,0.0
220,2024-11-11,KP.1.X,4.2e-07
221,2024-10-24,KP.1.X,0.00027518999999999997
222,2024-08-26,KP.1.X,0.0
223,2023-09-18,KP.1.X,0.0
224,2024-07-08,KP.1.X,0.00015215999999999998
225,2024-12-05,KP.1.X,0.0
226,2024-04-18,KP.1.X,0.0
227,2023-10-16,KP.1.X,0.0
228,2023-08-21,KP.1.X,0.0
229,2024-05-13,KP.1.X,0.0
230,2024-04-15,KP.1.X,0.49660239999999994
231,2024-05-16,KP.1.X,0.0
232,2023-10-30,KP.1.X,0.0
233,2024-11-14,KP.1.X,0.0
234,2023-09-28,KP.1.X,0.0
235,2024-12-09,KP.1.X,0.02489662
236,2024-02-15,KP.1.X,0.0
237,2024-09-30,KP.1.X,0.0
238,2023-10-26,KP.1.X,0.0
239,2024-08-12,KP.1.X,0.0
240,2023-10-19,JN.1.X,0.0
241,2023-10-02,JN.1.X,0.0
242,2024-04-11,JN.1.X,0.004972249999999999
243,2024-12-02,JN.1.X,0.26156942
244,2024-07-04,JN.1.X,0.99999994
245,2024-06-27,JN.1.X,0.00030261000000000003
246,2024-05-20,JN.1.X,0.99937126
247,2023-05-10,JN.1.X,0.0
248,2023-09-21,JN.1.X,0.0
249,2024-04-04,JN.1.X,0.5859952300000001
250,2024-11-11,JN.1.X,8.673000000000007e-05
251,2024-10-24,JN.1.X,0.55931223
252,2024-08-26,JN.1.X,0.0
253,2023-09-18,JN.1.X,0.0
254,2024-07-08,JN.1.X,0.00048762999999999996
255,2024-12-05,JN.1.X,0.0
256,2024-04-18,JN.1.X,0.9989966699999997
257,2023-10-16,JN.1.X,0.0
258,2023-08-21,JN.1.X,0.0
259,2024-05-13,JN.1.X,0.07569959999999998
260,2024-04-15,JN.1.X,0.0058115400000000005
261,2024-05-16,JN.1.X,0.6349459999999998
262,2023-10-30,JN.1.X,1.57e-06
263,2024-11-14,JN.1.X,0.7864788599999999
264,2023-09-28,JN.1.X,0.0
265,2024-12-09,JN.1.X,0.23546395
266,2024-02-15,JN.1.X,0.99906736
267,2024-09-30,JN.1.X,0.00093832
268,2023-10-26,JN.1.X,0.0
269,2024-08-12,JN.1.X,0.9998119700000001
270,2023-10-19,KP.3.X,0.0
271,2023-10-02,KP.3.X,0.0
272,2024-04-11,KP.3.X,2.526e-05
