,Other,Recombinants,Delta,BA.1.X,BA.2.X,BA.2.12.X,BA.4.X,BA.5.X,XBB.X,XBB.1.5.X,BA.2.86.X,JN.1.X,KP.1.X,KP.2.X,KP.3.X,LB.1.3.X,LB.1.3.4.X,XEC.X,XEC.9.X,LP.8.X,BA.3.2.X
2021-12-01,0.002002341176470624,0.002203457647058824,0.058815324705882355,0.9369695411764706,1.3882352941176472e-07,0.0,0.0,4.1835294117647055e-06,2.3776470588235296e-06,2.0858823529411766e-06,0.0,2.723529411764706e-07,0.0,4.529411764705883e-08,2.111764705882353e-07,0.0,0.0,2.0588235294117647e-08,0.0,0.0,0.0
2022-01-01,0.08564628157894734,0.0939941647368421,0.009266969473684212,0.39815497368421054,0.41269343473684217,1.3998947368421054e-05,3.725052631578947e-05,0.00015807157894736842,1.5234736842105264e-05,1.2363157894736843e-05,1.3673684210526316e-06,2.5826315789473683e-06,5.642105263157895e-07,0.0,2.742631578947368e-06,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,0.11996868904761908,0.19795779619047618,0.00014740333333333335,0.06702633619047618,0.6110978314285714,0.0034345157142857143,0.00010607571428571429,0.00019930523809523807,4.279095238095238e-05,7.240952380952381e-06,6.014285714285714e-07,2.7709523809523813e-06,1.3019047619047618e-06,0.0,7.340952380952382e-06,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,0.012046132380952338,0.03667430476190476,0.04764331380952382,0.0074458128571428545,0.5838398204761904,2.898809523809524e-05,0.2257117242857143,0.0865910842857143,7.4304761904761906e-06,7.294761904761904e-06,9.5e-07,0.0,0.0,1.42e-06,1.7238095238095238e-06,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,0.013948156060606058,0.04588763818181818,0.032803106666666665,0.0836016112121212,0.11721098030303032,1.901e-05,0.5475869648484849,0.15893169545454547,5.092727272727273e-06,8.336363636363636e-07,0.0,2.6775757575757576e-06,9.651515151515152e-07,0.0,1.2681818181818183e-06,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,0.0038666297500000064,0.00234901575,0.016331687499999994,4.0765e-06,0.004111507249999999,1.309875e-05,0.68183334325,0.29146742675000004,1.32295e-05,6.0055e-06,0.0,1.5857499999999998e-06,1.3e-07,3.5925e-07,1.036e-06,0.0,0.0,8.684999999999999e-07,0.0,0.0,0.0
2022-06-01,0.00015569499999995318,0.000469826,1.0715e-05,0.03278258400000001,0.000360135,1.0827000000000002e-05,0.5041379349999999,0.46205797000000004,6.502999999999999e-06,4.015e-06,0.0,0.0,0.0,0.0,9.36e-07,0.0,0.0,2.859e-06,0.0,0.0,0.0
2022-07-01,0.033338908125000004,0.03848305,0.12018582125000002,0.06248199624999999,0.069976208125,0.0,0.29300835375,0.382515445625,2.475e-07,3.356875e-06,0.0,6.5999999999999995e-06,0.0,0.0,0.0,1.25e-08,0.0,0.0,0.0,0.0,0.0
2022-08-01,0.030430227352941142,0.013681289411764705,8.67970588235294e-06,5.924235294117646e-05,0.0014320926470588234,8.83235294117647e-07,0.20998670647058826,0.7443988888235294,1.185e-06,6.741176470588236e-07,0.0,9.941176470588237e-08,7.941176470588235e-09,7.352941176470588e-09,1.6176470588235295e-08,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,0.0037762650000000213,0.05732480666666667,8.906250000000001e-06,0.040616893333333334,0.010340143333333334,0.0010486225,0.04215959458333334,0.8447152887499999,3.984166666666667e-06,5.47625e-06,0.0,9.166666666666668e-09,0.0,0.0,0.0,9.999999999999999e-09,0.0,0.0,0.0,0.0,0.0
2022-10-01,0.003189704117647086,0.017190923235294114,4.946470588235294e-06,4.653823529411765e-06,0.006170611764705882,0.0005270882352941176,0.028606251470588234,0.9442910426470588,8.446470588235294e-06,5.638529411764706e-06,4.2705882352941177e-07,9.941176470588237e-08,0.0,1.6676470588235294e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,0.00042881300000007606,0.009593110333333332,9.084333333333334e-06,6.796333333333333e-06,5.333466666666667e-05,1.1323333333333333e-06,0.0019260286666666665,0.9879602313333333,1.2052999999999998e-05,1.5646666666666664e-06,0.0,4.453333333333333e-06,2.269666666666667e-06,1.1133333333333334e-07,0.0,0.0,0.0,1.017e-06,0.0,0.0,0.0
2022-12-01,0.00010089666666658116,0.00029640333333333336,0.0,2.815833333333333e-06,0.002943208333333333,0.0,0.009335675000000002,0.9873059250000001,1.1846666666666668e-05,6.25e-08,0.0,2.995833333333333e-06,5.25e-08,9.833333333333334e-08,1.9999999999999997e-08,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.00032376333333326325,0.00632522,3.2999999999999996e-05,8.553333333333335e-06,0.018113215000000002,8.435e-06,0.021888908333333335,0.87506882,0.0006855366666666665,0.07751896833333337,0.0,1.8606666666666666e-05,6.973333333333333e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
