,Other,Recombinants,Delta,BA.1.X,BA.2.X,BA.2.12.X,BA.4.X,BA.5.X,XBB.X,XBB.1.5.X,BA.2.86.X,JN.1.X,KP.1.X,KP.2.X,KP.3.X,LB.1.3.X,LB.1.3.4.X,XEC.X,XEC.9.X,LP.8.X,BA.3.2.X
2021-12-06,0.0025771992307692883,0.002859972307692309,0.0769123476923077,0.9176407284615385,1.815384615384616e-07,0.0,0.0,5.47076923076923e-06,3.10923076923077e-06,2.7230769230769237e-07,0.0,3.5615384615384617e-07,0.0,5.923076923076924e-08,2.761538461538462e-07,0.0,0.0,2.6923076923076925e-08,0.0,0.0,0.0
2021-12-07,0.0024042571428572078,0.002655688571428572,0.07141860857142858,0.92351239,1.685714285714286e-07,0.0,0.0,5.079999999999999e-06,2.8871428571428574e-06,2.528571428571429e-07,0.0,3.307142857142857e-07,0.0,5.5e-08,2.5642857142857144e-07,0.0,0.0,2.5e-08,0.0,0.0,0.0
2021-12-08,0.0020023411764706236,0.002203457647058824,0.058815324705882355,0.9369695411764706,1.3882352941176472e-07,0.0,0.0,4.183529411764705e-06,2.3776470588235296e-06,2.0858823529411766e-06,0.0,2.723529411764706e-07,0.0,4.529411764705883e-08,2.111764705882353e-07,0.0,0.0,2.0588235294117647e-08,0.0,0.0,0.0
2021-12-09,0.0020023411764706236,0.002203457647058824,0.058815324705882355,0.9369695411764706,1.3882352941176472e-07,0.0,0.0,4.183529411764705e-06,2.3776470588235296e-06,2.085882352941176e-06,0.0,2.723529411764706e-07,0.0,4.529411764705883e-08,2.111764705882353e-07,0.0,0.0,2.0588235294117647e-08,0.0,0.0,0.0
2021-12-10,0.0020023411764706236,0.002203457647058824,0.058815324705882355,0.9369695411764706,1.3882352941176472e-07,0.0,0.0,4.183529411764705e-06,2.3776470588235296e-06,2.085882352941176e-06,0.0,2.723529411764706e-07,0.0,4.529411764705883e-08,2.111764705882353e-07,0.0,0.0,2.0588235294117647e-08,0.0,0.0,0.0
2021-12-11,0.0020023411764706236,0.002203457647058824,0.058815324705882355,0.9369695411764706,1.3882352941176472e-07,0.0,0.0,4.183529411764705e-06,2.3776470588235296e-06,2.085882352941176e-06,0.0,2.723529411764706e-07,0.0,4.529411764705883e-08,2.111764705882353e-07,0.0,0.0,2.0588235294117647e-08,0.0,0.0,0.0
2021-12-12,0.0020023411764706236,0.002203457647058824,0.058815324705882355,0.9369695411764706,1.3882352941176472e-07,0.0,0.0,4.183529411764705e-06,2.3776470588235296e-06,2.085882352941176e-06,0.0,2.723529411764706e-07,0.0,4.529411764705883e-08,2.111764705882353e-07,0.0,0.0,2.0588235294117647e-08,0.0,0.0,0.0
2021-12-13,0.0020023411764706236,0.002203457647058824,0.058815324705882355,0.9369695411764706,1.3882352941176472e-07,0.0,0.0,4.183529411764705e-06,2.3776470588235296e-06,2.085882352941176e-06,0.0,2.723529411764706e-07,0.0,4.529411764705883e-08,2.111764705882353e-07,0.0,0.0,2.0588235294117647e-08,0.0,0.0,0.0
2021-12-14,0.0020023411764706236,0.002203457647058824,0.058815324705882355,0.9369695411764706,1.3882352941176472e-07,0.0,0.0,4.183529411764705e-06,2.3776470588235296e-06,2.085882352941176e-06,0.0,2.723529411764706e-07,0.0,4.529411764705883e-08,2.111764705882353e-07,0.0,0.0,2.0588235294117647e-08,0.0,0.0,0.0
2021-12-15,0.0020023411764706236,0.002203457647058824,0.058815324705882355,0.9369695411764706,1.3882352941176472e-07,0.0,0.0,4.183529411764705e-06,2.3776470588235296e-06,2.085882352941176e-06,0.0,2.723529411764706e-07,0.0,4.529411764705883e-08,2.111764705882353e-07,0.0,0.0,2.0588235294117647e-08,0.0,0.0,0.0
